Level	start_stop	Month	Week	Day	Date	Time
4.12	start	6	24	168	2016-06-16	06:48:00
0.83	stop	6	24	168	2016-06-16	10:12:00
4.57	start	6	24	169	2016-06-17	07:00:00
0.39	stop	6	24	169	2016-06-17	11:00:00
4.61	start	6	24	170	2016-06-18	07:24:00
0.04	stop	6	24	170	2016-06-18	11:42:00
4.76	start	6	24	171	2016-06-19	07:48:00
-0.15	stop	6	24	171	2016-06-19	12:24:00
5.03	start	6	25	172	2016-06-20	08:12:00
-0.41	stop	6	25	172	2016-06-20	13:00:00
4.9	start	6	25	173	2016-06-21	08:48:00
-0.6	stop	6	25	173	2016-06-21	13:36:00
4.94	start	6	25	174	2016-06-22	09:24:00
-0.68	stop	6	25	174	2016-06-22	14:12:00
4.88	start	6	25	175	2016-06-23	10:06:00
-0.6	stop	6	25	175	2016-06-23	14:48:00
4.55	start	6	25	176	2016-06-24	11:00:00
-0.29	stop	6	25	176	2016-06-24	15:24:00
4.31	start	6	25	177	2016-06-25	12:00:00
0.19	stop	6	25	177	2016-06-25	15:54:00
3.77	start	6	25	178	2016-06-26	13:24:00
0.91	stop	6	25	178	2016-06-26	16:06:00
3.83	start	6	26	181	2016-06-29	05:12:00
1.3	stop	6	26	181	2016-06-29	07:30:00
4.62	start	6	26	182	2016-06-30	05:24:00
0.44	stop	6	26	182	2016-06-30	09:12:00
5.26	start	7	26	183	2016-07-01	05:48:00
-0.18	stop	7	26	183	2016-07-01	10:24:00
5.47	start	7	26	184	2016-07-02	06:24:00
-0.58	stop	7	26	184	2016-07-02	11:24:00
5.47	start	7	26	185	2016-07-03	07:06:00
-0.94	stop	7	26	185	2016-07-03	12:12:00
5.53	start	7	27	186	2016-07-04	07:48:00
-0.92	stop	7	27	186	2016-07-04	13:00:00
5.33	start	7	27	187	2016-07-05	08:36:00
-1.03	stop	7	27	187	2016-07-05	13:36:00
5.21	start	7	27	188	2016-07-06	09:24:00
-0.81	stop	7	27	188	2016-07-06	14:12:00
4.9	start	7	27	189	2016-07-07	10:18:00
-0.45	stop	7	27	189	2016-07-07	14:42:00
4.53	start	7	27	190	2016-07-08	11:18:00
0.13	stop	7	27	190	2016-07-08	15:06:00
3.88	start	7	27	191	2016-07-09	12:36:00
1.0	stop	7	27	191	2016-07-09	15:18:00
3.43	start	7	28	196	2016-07-14	05:54:00
1.45	stop	7	28	196	2016-07-14	08:12:00
4.16	start	7	28	197	2016-07-15	06:00:00
0.86	stop	7	28	197	2016-07-15	09:24:00
4.42	start	7	28	198	2016-07-16	06:24:00
0.47	stop	7	28	198	2016-07-16	10:24:00
4.75	start	7	28	199	2016-07-17	06:48:00
0.11	stop	7	28	199	2016-07-17	11:12:00
4.92	start	7	29	200	2016-07-18	07:18:00
-0.22	stop	7	29	200	2016-07-18	11:54:00
4.9	start	7	29	201	2016-07-19	07:54:00
-0.4	stop	7	29	201	2016-07-19	12:36:00
5.0	start	7	29	202	2016-07-20	08:30:00
-0.61	stop	7	29	202	2016-07-20	13:12:00
4.97	start	7	29	203	2016-07-21	09:12:00
-0.63	stop	7	29	203	2016-07-21	13:48:00
4.85	start	7	29	204	2016-07-22	10:00:00
-0.38	stop	7	29	204	2016-07-22	14:24:00
4.71	start	7	29	205	2016-07-23	10:54:00
-0.12	stop	7	29	205	2016-07-23	14:48:00
4.23	start	7	29	206	2016-07-24	12:06:00
0.6	stop	7	29	206	2016-07-24	15:06:00
3.05	start	7	30	207	2016-07-25	14:06:00
2.25	stop	7	30	207	2016-07-25	14:48:00
1.69	start	7	30	209	2016-07-27	05:06:00
1.43	stop	7	30	209	2016-07-27	05:48:00
2.03	start	7	30	210	2016-07-28	05:12:00
0.75	stop	7	30	210	2016-07-28	07:30:00
3.6	start	7	30	211	2016-07-29	05:12:00
0.26	stop	7	30	211	2016-07-29	08:54:00
4.95	start	7	30	212	2016-07-30	05:30:00
-0.06	stop	7	30	212	2016-07-30	10:06:00
5.26	start	7	30	213	2016-07-31	06:12:00
-0.43	stop	7	30	213	2016-07-31	11:00:00
5.25	start	8	31	214	2016-08-01	07:00:00
-0.59	stop	8	31	214	2016-08-01	11:48:00
5.19	start	8	31	215	2016-08-02	07:48:00
-0.58	stop	8	31	215	2016-08-02	12:30:00
5.09	start	8	31	216	2016-08-03	08:36:00
-0.43	stop	8	31	216	2016-08-03	13:06:00
5.01	start	8	31	217	2016-08-04	09:24:00
-0.15	stop	8	31	217	2016-08-04	13:36:00
4.48	start	8	31	218	2016-08-05	10:24:00
0.19	stop	8	31	218	2016-08-05	13:54:00
3.98	start	8	31	219	2016-08-06	11:30:00
0.9	stop	8	31	219	2016-08-06	14:06:00
2.65	start	8	32	225	2016-08-12	05:30:00
1.62	stop	8	32	225	2016-08-12	07:00:00
3.66	start	8	32	226	2016-08-13	05:30:00
1.13	stop	8	32	226	2016-08-13	08:24:00
4.21	start	8	32	227	2016-08-14	05:54:00
0.68	stop	8	32	227	2016-08-14	09:30:00
4.38	start	8	33	228	2016-08-15	06:30:00
0.35	stop	8	33	228	2016-08-15	10:30:00
4.83	start	8	33	229	2016-08-16	07:00:00
0.04	stop	8	33	229	2016-08-16	11:18:00
4.83	start	8	33	230	2016-08-17	07:42:00
-0.19	stop	8	33	230	2016-08-17	12:00:00
4.93	start	8	33	231	2016-08-18	08:24:00
-0.33	stop	8	33	231	2016-08-18	12:36:00
4.89	start	8	33	232	2016-08-19	09:12:00
-0.17	stop	8	33	232	2016-08-19	13:12:00
4.78	start	8	33	233	2016-08-20	10:06:00
0.05	stop	8	33	233	2016-08-20	13:36:00
0.45	start	8	33	233	2016-08-20	13:54:00
1.84	stop	8	33	233	2016-08-20	14:36:00
